"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"a8b_Blue_Max_2001","DELETE","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_k_file","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_a_k_file","Deleted",""
"a8b_Blue_Max_2001","DELETE","a8b_Blue_Max_2001_1985_Synapse_Software_US_h","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_a_k_file","Deleted",""
"a8b_Blue_Max_2001","DELETE","a8b_Blue_Max_2001_1985_Synapse_Software_US_h_k_file","a8b_Blue_Max_2001_1984_Synapse_Software_US_h_Yogi_Bruce_a_k_file","Deleted",""
"a8b_Invasion_1987_Bulldog","DELETE","a8b_Invasion_1987_Bulldog_Software_GB_cr_Mr._Bacardi","a8b_Invasion_1987_Bulldog_Software_GB_cr_L.P.S._k_file","Deleted",""
"a8b_Invasion_1987_Bulldog","DELETE","a8b_Invasion_1987_Bulldog_Software_GB_cr_Mr._Bacardi_k_file","a8b_Invasion_1987_Bulldog_Software_GB_cr_L.P.S._k_file","Deleted",""
"a8b_Invasion_1987_Bulldog","DELETE","a8b_Invasion_1987_Bulldog_Software_GB_k_file","a8b_Invasion_1987_Bulldog_Software_GB_cr_L.P.S._k_file","Deleted",""
"zx_Hong_Kong_Phooey","DELETE","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software_a","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software","Deleted",""
"zx_Hong_Kong_Phooey","DELETE","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software_a2","zx_Hong_Kong_Phooey_1990_Hi_Tec_Software","Deleted",""
"a8b_Gateway_to_Apshai","DELETE","a8b_Gateway_to_Apshai_1983_Epyx_US_a_k_file","a8b_Gateway_to_Apshai_1983_Epyx_US","Deleted",""
"a8b_Gateway_to_Apshai","DELETE","a8b_Gateway_to_Apshai_1983_Epyx_US_k_file","a8b_Gateway_to_Apshai_1983_Epyx_US","Deleted",""
"zx_Pro_Skateboard_Simulator","DELETE","zx_Pro_Skateboard_Simulator_1989_Codemasters_128K","zx_Pro_Skateboard_Simulator_1989_Codemasters","Deleted",""
"zx_Pro_Skateboard_Simulator","DELETE","zx_Pro_Skateboard_Simulator_1989_Codemasters_a","zx_Pro_Skateboard_Simulator_1989_Codemasters","Deleted",""
"zx_Ballblazer_1986_Activision","DELETE","zx_Ballblazer_1986_Activision_128K","zx_Ballblazer_1986_Activision","Deleted",""
"zx_Las_Vegas_Jackpot","DELETE","zx_Las_Vegas_Jackpot_1984_Mastertronic_a","zx_Las_Vegas_Jackpot_1984_Mastertronic","Deleted",""
"zx_Deactivators_1986_Reaktor","DELETE","zx_Deactivators_1986_Reaktor_128K","zx_Deactivators_1986_Reaktor","Deleted",""
"zx_Deactivators_1986_Reaktor","DELETE","zx_Deactivators_1986_Reaktor_a","zx_Deactivators_1986_Reaktor","Deleted",""
"zx_Deactivators_1986_Reaktor","DELETE","zx_Deactivators_1986_Reaktor_a_128K","zx_Deactivators_1986_Reaktor","Deleted",""
"zx_Deactivators_1986_Reaktor","DELETE","zx_Deactivators_1986_Reaktor_a2_128K","zx_Deactivators_1986_Reaktor","Deleted",""
"zx_G_LOC_1992","DELETE","zx_G_LOC_1992_U.S._Gold_128K_needs_tape_load","zx_G_LOC_1992_U.S._Gold_128K","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a2","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a3","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a4","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2_a5","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_a","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_a_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_2_of_2_a2","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_Part_1_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_Astro_Marine_Corps","DELETE","zx_Astro_Marine_Corps_1989_Dinamic_Software_Part_2_of_2_128K","zx_Astro_Marine_Corps_1989_Dinamic_Software_es_Part_1_of_2","Deleted",""
"zx_World_Championship_Boxing","DELETE","zx_World_Championship_Boxing_Manager_1990_Goliath_Games_a","zx_World_Championship_Boxing_Manager_1990_Goliath_Games","Deleted",""
"zx_Kayleth_1986_Adventuresoft","DELETE","zx_Kayleth_1986_Adventuresoft_UK_a","zx_Kayleth_1986_Adventuresoft_UK","Deleted",""
"zx_Kayleth_1986_Adventuresoft","DELETE","zx_Kayleth_1986_Adventuresoft_UK_a2","zx_Kayleth_1986_Adventuresoft_UK","Deleted",""
"zx_Kayleth_1986_Adventuresoft","DELETE","zx_Kayleth_1986_Adventuresoft_UK_a3","zx_Kayleth_1986_Adventuresoft_UK","Deleted",""
"zx_Hyperbowl_1986_Mastertronic","DELETE","zx_Hyperbowl_1986_Mastertronic_a","zx_Hyperbowl_1986_Mastertronic","Deleted",""
"zx_Sim_City_1989","DELETE","zx_Sim_City_1989_Infogrames_a","zx_Sim_City_1989_Infogrames","Deleted",""
"zx_Tarzan_1986_Martech","DELETE","zx_Tarzan_1986_Martech_Games_a","zx_Tarzan_1986_Martech_Games","Deleted",""
"a8b_Shamus_Case_II","DELETE","a8b_Shamus_Case_II_1983_Synapse_Software_US_a_k_file","a8b_Shamus_Case_II_1983_Synapse_Software_US_a","Deleted",""
"a8b_Shamus_Case_II","DELETE","a8b_Shamus_Case_II_1983_Synapse_Software_US_h","a8b_Shamus_Case_II_1983_Synapse_Software_US_a","Deleted",""
"a8b_Shamus_Case_II","DELETE","a8b_Shamus_Case_II_1983_Synapse_Software_US_k_file","a8b_Shamus_Case_II_1983_Synapse_Software_US_a","Deleted",""
"a8b_Shamus_Case_II","DELETE","a8b_Shamus_Case_II_1983_Synapse_Software_US_t","a8b_Shamus_Case_II_1983_Synapse_Software_US_a","Deleted",""
"zx_Micro_Mouse_Goes","DELETE","zx_Micro_Mouse_Goes_De_Bugging_1983_MC_Lothlorien_a_16K","zx_Micro_Mouse_Goes_De_Bugging_1983_MC_Lothlorien_16K","Deleted",""
"a8b_Zork_I_The","DELETE","a8b_Zork_I_The_Great_Underground_Empire_1982_Infocom_US_a","a8b_Zork_I_The_Great_Underground_Empire_1982_Infocom_US","Deleted",""
"a8b_Zork_I_The","DELETE","a8b_Zork_I_The_Great_Underground_Empire_1983_Infocom_US","a8b_Zork_I_The_Great_Underground_Empire_1982_Infocom_US","Deleted",""
"a8b_Moon_Shuttle_1983","DELETE","a8b_Moon_Shuttle_1983_Datasoft_US_t","a8b_Moon_Shuttle_1983_Datasoft_US_k_file","Deleted",""
"zx_Dan_Dare_II","DELETE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Deleted",""
"zx_Dan_Dare_II","DELETE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a2","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Deleted",""
"zx_Dan_Dare_II","DELETE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a3","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Deleted",""
"zx_Dan_Dare_II","DELETE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a4","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Deleted",""
"3D_Breakout_1987_M.W.","DELETE","3D_Breakout_1987_M.W._Gallon_h_Drive","3D_Breakout_1987_M.W._Gallon","Deleted",""
"zx_Ninja_Massacre_1989","DELETE","zx_Ninja_Massacre_1989_Codemasters_128K","zx_Ninja_Massacre_1989_Codemasters","Deleted",""
"zx_Ninja_Massacre_1989","DELETE","zx_Ninja_Massacre_1989_Codemasters_a","zx_Ninja_Massacre_1989_Codemasters","Deleted",""
"zx_Ninja_Massacre_1989","DELETE","zx_Ninja_Massacre_1989_Codemasters_a_128K","zx_Ninja_Massacre_1989_Codemasters","Deleted",""
"zx_Ninja_Massacre_1989","DELETE","zx_Ninja_Massacre_1989_Codemasters_a2","zx_Ninja_Massacre_1989_Codemasters","Deleted",""
"a8b_Stack_Up_1991","DELETE","a8b_Stack_Up_1991_Zeppelin_Games_GB_cr_Burton_Bandit_k_file","a8b_Stack_Up_1991_Zeppelin_Games_GB_cr_Burton_Bandit_a_k_file","Deleted",""
"a8b_Stack_Up_1991","DELETE","a8b_Stack_Up_1991_Zeppelin_Games_GB_cr_Mr._Bacardi_k_file","a8b_Stack_Up_1991_Zeppelin_Games_GB_cr_Burton_Bandit_a_k_file","Deleted",""
"a8b_Mr._TNT_1983","DELETE","a8b_Mr._TNT_1983_HesWare_US_k_file","a8b_Mr._TNT_1983_HesWare_US_a_k_file","Deleted",""
"zx_Ice_Station_Zero","DELETE","zx_Ice_Station_Zero_v3_1985_8th_Day_Software","zx_Ice_Station_Zero_1985_8th_Day_Software","Deleted",""
"zx_Ice_Station_Zero","DELETE","zx_Ice_Station_Zero_v3_1985_8th_Day_Software_a","zx_Ice_Station_Zero_1985_8th_Day_Software","Deleted",""
"zx_Captain_Blood_1988","DELETE","zx_Captain_Blood_1988_Exxos_a_128K","zx_Captain_Blood_1988_Exxos_128K","Deleted",""
"zx_Captain_Blood_1988","DELETE","zx_Captain_Blood_1988_Exxos_a2_128K","zx_Captain_Blood_1988_Exxos_128K","Deleted",""
"a8b_Silicon_Warrior_1983","DELETE","a8b_Silicon_Warrior_1983_Epyx_US_noATR_k_file","a8b_Silicon_Warrior_1983_Epyx_US","Deleted",""
"a8b_International_Karate_1986","DELETE","a8b_International_Karate_1986_System_3_Software_GB_PAL","a8b_International_Karate_1986_System_3_Software_GB","Deleted",""
"a8b_International_Karate_1986","DELETE","a8b_International_Karate_1986_System_3_Software_GB_PAL_h_Homesoft","a8b_International_Karate_1986_System_3_Software_GB","Deleted",""
"a8b_M.U.L.E._1983_Electronic","DELETE","a8b_M.U.L.E._1983_Electronic_Arts_US_a","a8b_M.U.L.E._1983_Electronic_Arts_US","Deleted",""
"a8b_M.U.L.E._1983_Electronic","DELETE","a8b_M.U.L.E._1983_Electronic_Arts_US_a2","a8b_M.U.L.E._1983_Electronic_Arts_US","Deleted",""
"a8b_M.U.L.E._1983_Electronic","DELETE","a8b_M.U.L.E._1983_Electronic_Arts_US_a3","a8b_M.U.L.E._1983_Electronic_Arts_US","Deleted",""
"a8b_M.U.L.E._1983_Electronic","DELETE","a8b_M.U.L.E._1983_Electronic_Arts_US_h","a8b_M.U.L.E._1983_Electronic_Arts_US","Deleted",""
"zx_Hero_1984_Activision","DELETE","zx_Hero_1984_Activision_a","zx_Hero_1984_Activision","Deleted",""
"zx_Marauder_1988_Hewson","DELETE","zx_Marauder_1988_Hewson_Consultants_128K","zx_Marauder_1988_Hewson_Consultants","Deleted",""
"zx_Marauder_1988_Hewson","DELETE","zx_Marauder_1988_Hewson_Consultants_a","zx_Marauder_1988_Hewson_Consultants","Deleted",""
"zx_Marauder_1988_Hewson","DELETE","zx_Marauder_1988_Hewson_Consultants_a_128K","zx_Marauder_1988_Hewson_Consultants","Deleted",""
"a8b_On_Cue_Pool","DELETE","a8b_On_Cue_Pool_87_1987_Mastertronic_GB_cr_Mr._Bacardi_tape_version","a8b_On_Cue_Pool_87_1987_Mastertronic_GB_a_tape_version_k_file","Deleted",""
"a8b_On_Cue_Pool","DELETE","a8b_On_Cue_Pool_87_1987_Mastertronic_GB_tape_version_k_file","a8b_On_Cue_Pool_87_1987_Mastertronic_GB_a_tape_version_k_file","Deleted",""
"zx_Firefly_1988_Ocean","DELETE","zx_Firefly_1988_Ocean_a","zx_Firefly_1988_Ocean","Deleted",""
"a8b_Strip_Poker_1983","DELETE","a8b_Strip_Poker_1983_Artworx_US_h_Homesoft_BASIC_Melissa_k_file","a8b_Strip_Poker_1983_Artworx_US_a2_BASIC","Deleted",""
"a8b_Strip_Poker_1983","DELETE","a8b_Strip_Poker_1983_Artworx_US_h_Homesoft_BASIC_Suzi_k_file","a8b_Strip_Poker_1983_Artworx_US_a2_BASIC","Deleted",""
"zx_Wanted_Monty_Mole","DELETE","zx_Wanted_Monty_Mole_1984_Gremlin_Graphics_Software_a","zx_Wanted_Monty_Mole_1984_Gremlin_Graphics_Software","Deleted",""
"zx_Spiky_Harold_1986","DELETE","zx_Spiky_Harold_1986_Firebird_Software_a","zx_Spiky_Harold_1986_Firebird_Software","Deleted",""
"a8b_Colossal_Adventure_1983","DELETE","a8b_Colossal_Adventure_1983_Level_9_Computing_GB_k_file","a8b_Colossal_Adventure_1983_Level_9_Computing_GB_b_playable_k_file","Deleted",""
"zx_Night_Breed_1990","DELETE","zx_Night_Breed_1990_Ocean_128K","zx_Night_Breed_1990_Ocean","Deleted",""
"zx_Silkworm_1989_Virgin","DELETE","zx_Silkworm_1989_Virgin_Games_a","zx_Silkworm_1989_Virgin_Games_128K","Deleted",""
"zx_Silkworm_1989_Virgin","DELETE","zx_Silkworm_1989_Virgin_Games_a2","zx_Silkworm_1989_Virgin_Games_128K","Deleted",""
"zx_By_Fair_Means","DELETE","zx_By_Fair_Means_or_Foul_1989_Superior_Software_a","zx_By_Fair_Means_or_Foul_1989_Superior_Software","Deleted",""
"a8b_BMX_Simulator_1986","DELETE","a8b_BMX_Simulator_1986_Code_Masters_GB_compressed_k_file","a8b_BMX_Simulator_1986_Code_Masters_GB","Deleted",""
"a8b_BMX_Simulator_1986","DELETE","a8b_BMX_Simulator_1986_Code_Masters_GB_k_file","a8b_BMX_Simulator_1986_Code_Masters_GB","Deleted",""
"a8b_Questprobe_2_Spider","DELETE","a8b_Questprobe_2_Spider_Man_v3.9_111_1985_Adventure_International_US","a8b_Questprobe_2_Spider_Man_1984_Adventure_International","Deleted",""
"a8b_Questprobe_2_Spider","DELETE","a8b_Questprobe_2_Spider_Man_v3.9_111_1985_Adventure_International_US_a_k_file","a8b_Questprobe_2_Spider_Man_1984_Adventure_International","Deleted",""
"a8b_Questprobe_2_Spider","DELETE","a8b_Questprobe_2_Spider_Man_v3.9_111_1985_Adventure_International_US_k_file","a8b_Questprobe_2_Spider_Man_1984_Adventure_International","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_128K","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_a","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_a_128K","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_a2","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_a2_128K","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_a3","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_a4","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_t","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Arkanoid_II_Revenge","DELETE","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software_t_a","zx_Arkanoid_II_Revenge_of_Doh_1988_Imagine_Software","Deleted",""
"zx_Dizzy_VI_Prince","DELETE","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters_128K","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters","Deleted",""
"zx_Dizzy_VI_Prince","DELETE","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters_a","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters","Deleted",""
"zx_Dizzy_VI_Prince","DELETE","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters_a_128K","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters","Deleted",""
"zx_Dizzy_VI_Prince","DELETE","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters_a2_128K","zx_Dizzy_VI_Prince_of_the_Yolkfolk_1991_Codemasters","Deleted",""
"zx_Blazing_Thunder_1990","DELETE","zx_Blazing_Thunder_1990_Hi_Tec_Software_a","zx_Blazing_Thunder_1990_Hi_Tec_Software","Deleted",""
"zx_Blazing_Thunder_1990","DELETE","zx_Blazing_Thunder_1990_Hi_Tec_Software_a2","zx_Blazing_Thunder_1990_Hi_Tec_Software","Deleted",""
"zx_Football_Manager_2","DELETE","zx_Football_Manager_2_Expansion_Kit_1989_Addictive_Games","zx_Football_Manager_2_1988_Addictive_Games","Deleted",""
"a8b_Micro_League_Baseball","DELETE","a8b_Micro_League_Baseball_1984_Micro_League_Sports_Association_US_m_color_Rob.C","a8b_Micro_League_Baseball_1984_Micro_League_Sports_Association_US","Deleted",""
"a8b_Micro_League_Baseball","DELETE","a8b_Micro_League_Baseball_General_Manager_Owner_Disk_1985_Micro_League_Sports_Associ","a8b_Micro_League_Baseball_1984_Micro_League_Sports_Association_US","Deleted",""
"zx_Cabal_1988_Ocean","DELETE","zx_Cabal_1988_Ocean_a_128K","zx_Cabal_1988_Ocean_128K","Deleted",""
"a8b_Adventure_No._04","DELETE","a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US_a","a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US","Deleted",""
"a8b_Adventure_No._04","DELETE","a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US_k_file.a","a8b_Adventure_No._04_Voodoo_Castle_v3.9_119_1981_Adventure_International_US","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_128K","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_a","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_a_128K","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_a2","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_a2_128K","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_a3","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Dizzy_II_Treasure","DELETE","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters_ru_128K","zx_Dizzy_II_Treasure_Island_Dizzy_1988_Codemasters","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software_a2","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software_a3","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software_a4","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._02_Arrow_of_Death_Part_1_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._02_Arrow_of_Death_Part_1_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._02_Arrow_of_Death_Part_1_1983_Channel_8_Software_a2.z8","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._02_Arrow_of_Death_Part_1_1983_Channel_8_Software_a3.z8","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._02_Arrow_of_Death_Part_1_1983_Channel_8_Software_a4.z8","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._03_Arrow_of_Death_Part_2_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._03_Arrow_of_Death_Part_2_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._03_Arrow_of_Death_Part_2_1983_Channel_8_Software_a2.z8","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._04_Escape_from_Pulsar_7_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._04_Escape_from_Pulsar_7_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._04_Escape_from_Pulsar_7_1983_Channel_8_Software_a2","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._05_Feasibility_Experiment_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._05_Feasibility_Experiment_1983_Channel_8_Software_a.z8","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._06_The_Time_Machine_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._06_The_Time_Machine_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._07_Circus_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._07_Circus_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._08_Wizard_of_Akyrz_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._08_Wizard_of_Akyrz_1983_Channel_8_Software_a","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._08_Wizard_of_Akyrz_1983_Channel_8_Software_a2","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._08_Wizard_of_Akyrz_1983_Channel_8_Software_a3","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
"zx_Mysterious_Adventures_No.","DELETE","zx_Mysterious_Adventures_No._09_Perseus_and_Andromeda_1983_Channel_8_Software","zx_Mysterious_Adventures_No._01_Golden_Baton_1983_Channel_8_Software","Deleted",""
